Pillow I.D.,Date,Temp. Max.,Code,Temp. Min.,Code,Precipitation,Code,Accumulated Precip.,Code,Snow Water Equivalent,Code,Snow Depth,Code
3B17P,1987-10-01,22.3,,14.8,,0,,182,,0,,,
3B17P,1987-10-02,10.3,,7.9,,2,,184,,0,,,
3B17P,1987-10-03,7.3,,3.1,,0,,183,,0,,,
3B17P,1987-10-04,10.9,,0.4,,0,,183,,0,,,
3B17P,1987-10-05,13,,5.2,,0,,183,,0,,,
3B17P,1987-10-06,22,,7.3,,1,,184,,0,,,
3B17P,1987-10-07,19.6,,11.2,,1,,184,,0,,,
3B17P,1987-10-08,18.7,,7.3,,0,,184,,0,,,
3B17P,1987-10-09,16.6,,6.7,,0,,183,,0,,,
3B17P,1987-10-10,19.6,,9.1,,0,,183,,0,,,
3B17P,1987-10-11,22.6,,11.2,,0,,183,,0,,,
3B17P,1987-10-12,14.5,,0.1,,0,,182,,0,,,
3B17P,1987-10-13,13,,3.7,,0,,182,,0,,,
3B17P,1987-10-14,9.1,,1.3,,0,,182,,0,,,
3B17P,1987-10-15,6.7,,-0.2,,0,,182,,0,,,
3B17P,1987-10-16,7.9,,1.6,,0,,182,,0,,,
3B17P,1987-10-17,10.3,,0.4,,0,,181,,0,,,
3B17P,1987-10-18,16,,3.4,,0,,180,,0,,,
3B17P,1987-10-19,16.9,,5.2,,0,,179,,0,,,
3B17P,1987-10-20,17.5,,-2,,0,,179,,0,,,
3B17P,1987-10-21,16.3,,7.2,,0,,179,,0,,,
3B17P,1987-10-22,16.3,,6.1,,0,,179,,0,,,
3B17P,1987-10-23,11.5,,3.1,,0,,179,,0,,,
3B17P,1987-10-24,9.4,,2.5,,1,,179,,0,,,
3B17P,1987-10-25,7.9,,2.8,,1,,180,,0,,,
3B17P,1987-10-26,12.7,,1.6,,0,,179,,0,,,
3B17P,1987-10-27,12.4,,6.4,,2,,181,,0,,,
3B17P,1987-10-28,8.5,,6.1,,5,,186,,0,,,
3B17P,1987-10-29,8.2,,7,,7,,193,,0,,,
3B17P,1987-10-30,6.1,,4.3,,40,,233,,0,,,
3B17P,1987-10-31,4.9,,1,,14,,247,,0,,,
3B17P,1987-11-01,4.9,,1,,0,,247,,0,,,
3B17P,1987-11-02,7.9,,-0.5,,5,,252,,0,,,
3B17P,1987-11-03,5.8,*,4.3,*,1,,253,,0,,,
3B17P,1987-11-04,7.9,,2.5,*,1,,254,,0,,,
3B17P,1987-11-05,11.5,,5.2,,4,,258,,0,,,
3B17P,1987-11-06,7.3,,1.9,,2,,259,,0,E,,
3B17P,1987-11-07,4,,2.5,,12,,271,,0,E,,
3B17P,1987-11-08,4.3,,2.8,,32,,303,,0,E,,
3B17P,1987-11-09,4.9,*,2.2,,65,,368,,0,E,,
3B17P,1987-11-10,4.9,,3.3,*,64,,432,,0,E,,
3B17P,1987-11-11,2.5,,-0.5,,4,,436,,0,E,,
3B17P,1987-11-12,1.9,,0.3,,26,,463,,0,E,,
3B17P,1987-11-13,0.7,,-3.2,,8,,471,,0,E,,
3B17P,1987-11-14,-1.4,,-2.9,,1,,471,,0,E,,
3B17P,1987-11-15,-0.2,,-4.1,,23,,494,,0,E,,
3B17P,1987-11-16,1,,-8,,4,,498,,0,E,,
3B17P,1987-11-17,4.3,,-2.9,,0,,498,,0,E,,
3B17P,1987-11-18,4.3,,-0.2,,10,,507,,0,E,,
3B17P,1987-11-19,5.5,,-4.1,,45,,552,,14,E,,
3B17P,1987-11-20,5.2,,-5.9,,23,,575,,25.5,E,,
3B17P,1987-11-21,0.4,,-2.9,,10,,585,,32.9,E,,
3B17P,1987-11-22,-0.2,,-5.9,,23,,608,,47.4,E,,
3B17P,1987-11-23,2.5,*,-2.9,,87,L,695,,126.9,E,,
3B17P,1987-11-24,,,-6.5,*,3,,698,,128.4,E,,
3B17P,1987-11-25,0.7,,-5.9,,0,,696,,127.8,E,,
3B17P,1987-11-26,2.5,,-0.2,,7,,702,,132.3,E,,
3B17P,1987-11-27,3.7,,0.1,,4,,706,,134.8,E,,
3B17P,1987-11-28,7,,-0.5,,5,,711,,136.3,E,,
3B17P,1987-11-29,1.9,,-2,,5,,717,,137.7,E,,
3B17P,1987-11-30,-0.2,,-1.7,,103,,820,,227.2,E,,
3B17P,1987-12-01,-1.7,,-4.1,,6,,825,,229.7,E,,
3B17P,1987-12-02,0.7,,-2.9,*,27,L,221,,249.2,L,,
3B17P,1987-12-03,-1.4,*,-3.5,*,13,A,234,,274.6,A,,
3B17P,1987-12-04,-1.4,,-5.9,,7,,241,,285.1,,,
