Name,Date (UTC),Temp (C),RGauge (mm),SWE (mm),SD (cm),Battery (V)
Wolf River (Upper) Snow,2017-06-13 0:00,12.4,310,546,,13.48
Wolf River (Upper) Snow,2017-06-13 1:00,12.7,310,546,,13.42
Wolf River (Upper) Snow,2017-06-13 2:00,9.5,310,546,,13.36
Wolf River (Upper) Snow,2017-06-13 3:00,8,310,546,,13.12
Wolf River (Upper) Snow,2017-06-13 4:00,6.5,310,546,,13.07
Wolf River (Upper) Snow,2017-06-13 5:00,5.5,310,546,,12.95
Wolf River (Upper) Snow,2017-06-13 6:00,5.3,310,546,,12.95
Wolf River (Upper) Snow,2017-06-13 7:00,4.9,310,546,,12.89
Wolf River (Upper) Snow,2017-06-13 8:00,4.1,310,546,,12.89
Wolf River (Upper) Snow,2017-06-13 9:00,3.8,310,546,,12.89
Wolf River (Upper) Snow,2017-06-13 10:00,3.2,310,546,,12.89
Wolf River (Upper) Snow,2017-06-13 11:00,3,311,547,,12.83
Wolf River (Upper) Snow,2017-06-13 12:00,2.6,311,547,,12.83
Wolf River (Upper) Snow,2017-06-13 13:00,1.9,311,547,,12.77
Wolf River (Upper) Snow,2017-06-13 14:00,2.5,311,547,,12.77
Wolf River (Upper) Snow,2017-06-13 15:00,3.7,311,547,,12.83
Wolf River (Upper) Snow,2017-06-13 16:00,3.7,311,547,,13
Wolf River (Upper) Snow,2017-06-13 17:00,3.5,311,547,,13
Wolf River (Upper) Snow,2017-06-13 18:00,4.5,311,546,,13.18
Wolf River (Upper) Snow,2017-06-13 19:00,5.6,311,546,,13.3
Wolf River (Upper) Snow,2017-06-13 20:00,8.6,311,522,,13.88
Wolf River (Upper) Snow,2017-06-13 21:00,7.5,311,522,,13.59
Wolf River (Upper) Snow,2017-06-13 22:00,7.2,311,522,,13.53
Wolf River (Upper) Snow,2017-06-13 23:00,7.4,311,522,,13.42
Wolf River (Upper) Snow,2017-06-14 0:00,7.1,311,522,,13.3
Wolf River (Upper) Snow,2017-06-14 1:00,5.9,311,522,,13.18
Wolf River (Upper) Snow,2017-06-14 2:00,5.7,311,522,,13.12
Wolf River (Upper) Snow,2017-06-14 3:00,3.9,311,522,,13
Wolf River (Upper) Snow,2017-06-14 4:00,2.4,310,522,,12.95
Wolf River (Upper) Snow,2017-06-14 5:00,1.7,310,522,,12.89
Wolf River (Upper) Snow,2017-06-14 6:00,1.8,311,522,,12.89
Wolf River (Upper) Snow,2017-06-14 7:00,1.3,311,522,,12.83
Wolf River (Upper) Snow,2017-06-14 8:00,0.8,311,522,,12.83
Wolf River (Upper) Snow,2017-06-14 9:00,0.6,311,522,,12.77
Wolf River (Upper) Snow,2017-06-14 10:00,0.7,311,522,,12.77
Wolf River (Upper) Snow,2017-06-14 11:00,0.7,311,522,,12.71
Wolf River (Upper) Snow,2017-06-14 12:00,0.9,311,522,,12.71
Wolf River (Upper) Snow,2017-06-14 13:00,0.9,311,522,,12.71
Wolf River (Upper) Snow,2017-06-14 14:00,1.2,311,522,,12.71
Wolf River (Upper) Snow,2017-06-14 15:00,1.6,311,522,,12.77
Wolf River (Upper) Snow,2017-06-14 16:00,1.8,311,522,,12.89
Wolf River (Upper) Snow,2017-06-14 17:00,2.9,311,522,,13
Wolf River (Upper) Snow,2017-06-14 18:00,3.9,311,507,,13.24
Wolf River (Upper) Snow,2017-06-14 19:00,5,311,506,,13.36
Wolf River (Upper) Snow,2017-06-14 20:00,5.2,311,506,,13.42
Wolf River (Upper) Snow,2017-06-14 21:00,5.4,311,506,,13.36
Wolf River (Upper) Snow,2017-06-14 22:00,4.9,311,506,,13.3
Wolf River (Upper) Snow,2017-06-14 23:00,5.3,311,504,,13.3
Wolf River (Upper) Snow,2017-06-15 0:00,5.2,311,504,,13.3
Wolf River (Upper) Snow,2017-06-15 1:00,5.7,311,503,,13.3
Wolf River (Upper) Snow,2017-06-15 2:00,4.3,311,503,,13.24
Wolf River (Upper) Snow,2017-06-15 3:00,3.3,311,500,,13.07
Wolf River (Upper) Snow,2017-06-15 4:00,2.9,311,498,,13
Wolf River (Upper) Snow,2017-06-15 5:00,2.6,311,497,,12.89
Wolf River (Upper) Snow,2017-06-15 6:00,2.7,311,496,,12.89
Wolf River (Upper) Snow,2017-06-15 7:00,2.6,311,495,,12.77
Wolf River (Upper) Snow,2017-06-15 8:00,2.6,311,495,,12.77
Wolf River (Upper) Snow,2017-06-15 9:00,2.5,312,494,,12.71
Wolf River (Upper) Snow,2017-06-15 10:00,2.6,312,494,,12.71
Wolf River (Upper) Snow,2017-06-15 11:00,2.5,313,493,,12.71
Wolf River (Upper) Snow,2017-06-15 12:00,2.6,314,493,,12.71
Wolf River (Upper) Snow,2017-06-15 13:00,2.6,315,493,,12.71
Wolf River (Upper) Snow,2017-06-15 14:00,2.9,316,493,,12.71
Wolf River (Upper) Snow,2017-06-15 15:00,3.1,318,493,,12.71
Wolf River (Upper) Snow,2017-06-15 16:00,3.5,322,493,,12.77
Wolf River (Upper) Snow,2017-06-15 17:00,3.4,328,493,,12.77
Wolf River (Upper) Snow,2017-06-15 18:00,4.1,334,492,,12.89
Wolf River (Upper) Snow,2017-06-15 19:00,5.2,337,492,,13.12
Wolf River (Upper) Snow,2017-06-15 20:00,5.7,340,492,,13.07
Wolf River (Upper) Snow,2017-06-15 21:00,6.8,341,492,,13.3
Wolf River (Upper) Snow,2017-06-15 22:00,7.2,341,492,,13.42
Wolf River (Upper) Snow,2017-06-15 23:00,7.1,341,490,,13.3
Wolf River (Upper) Snow,2017-06-16 0:00,6.6,342,487,,13.24
Wolf River (Upper) Snow,2017-06-16 1:00,6.4,342,486,,13.12
Wolf River (Upper) Snow,2017-06-16 2:00,6.2,342,484,,13.12
Wolf River (Upper) Snow,2017-06-16 3:00,5.7,342,482,,13
Wolf River (Upper) Snow,2017-06-16 4:00,5.2,342,480,,12.95
Wolf River (Upper) Snow,2017-06-16 5:00,4.9,342,478,,12.83
Wolf River (Upper) Snow,2017-06-16 6:00,4.9,343,477,,12.83
Wolf River (Upper) Snow,2017-06-16 7:00,4.4,343,477,,12.77
Wolf River (Upper) Snow,2017-06-16 8:00,4,343,476,,12.77
Wolf River (Upper) Snow,2017-06-16 9:00,3.9,344,474,,12.71
Wolf River (Upper) Snow,2017-06-16 10:00,4,344,473,,12.71
Wolf River (Upper) Snow,2017-06-16 11:00,4.1,344,473,,12.71
Wolf River (Upper) Snow,2017-06-16 12:00,3.9,344,473,,12.71
Wolf River (Upper) Snow,2017-06-16 13:00,3.6,344,471,,12.71
Wolf River (Upper) Snow,2017-06-16 14:00,4.8,344,471,,12.77
Wolf River (Upper) Snow,2017-06-16 15:00,5.3,344,470,,12.89
Wolf River (Upper) Snow,2017-06-16 16:00,6.7,344,470,,13.12
Wolf River (Upper) Snow,2017-06-16 17:00,6.2,344,469,,13.18
Wolf River (Upper) Snow,2017-06-16 18:00,7,344,469,,13.3
Wolf River (Upper) Snow,2017-06-16 19:00,7.5,344,469,,13.24
Wolf River (Upper) Snow,2017-06-16 20:00,7.2,344,468,,13.24
Wolf River (Upper) Snow,2017-06-16 21:00,7.7,344,467,,13.48
Wolf River (Upper) Snow,2017-06-16 22:00,7.9,344,466,,13.48
Wolf River (Upper) Snow,2017-06-16 23:00,7.5,344,466,,13.3
Wolf River (Upper) Snow,2017-06-17 0:00,10.3,344,461,,13.53
Wolf River (Upper) Snow,2017-06-17 1:00,10.8,344,460,,13.71
Wolf River (Upper) Snow,2017-06-17 2:00,9.7,344,460,,13.53
Wolf River (Upper) Snow,2017-06-17 3:00,7.4,344,460,,13.3
Wolf River (Upper) Snow,2017-06-17 4:00,5.6,344,460,,13.12
Wolf River (Upper) Snow,2017-06-17 5:00,4.6,344,460,,13
Wolf River (Upper) Snow,2017-06-17 6:00,3.6,344,460,,12.95
Wolf River (Upper) Snow,2017-06-17 7:00,3.4,344,460,,12.89
Wolf River (Upper) Snow,2017-06-17 8:00,3.5,344,460,,12.89
Wolf River (Upper) Snow,2017-06-17 9:00,3.2,344,460,,12.83
Wolf River (Upper) Snow,2017-06-17 10:00,3.5,344,460,,12.83
Wolf River (Upper) Snow,2017-06-17 11:00,3.4,344,460,,12.77
Wolf River (Upper) Snow,2017-06-17 12:00,3.3,344,460,,12.77
Wolf River (Upper) Snow,2017-06-17 13:00,3.5,344,460,,12.77
Wolf River (Upper) Snow,2017-06-17 14:00,3.9,344,460,,12.77
Wolf River (Upper) Snow,2017-06-17 15:00,4.6,344,460,,12.83
